,drug vector,condensed weight
0,0 0 0 0 0 0,0.0
1,0 0 0 0 0 1,3.4090909090909087
2,0 0 0 0 1 0,20.454545454545457
3,0 0 0 0 1 1,23.863636363636363
4,0 0 0 1 0 0,53.40909090909091
5,0 0 0 1 0 1,56.81818181818182
6,0 0 0 1 1 0,80.68181818181817
7,0 0 0 1 1 1,84.0909090909091
8,0 0 1 0 0 0,10.795454545454545
9,0 0 1 0 0 1,14.204545454545455
10,0 0 1 0 1 0,28.40909090909091
11,0 0 1 0 1 1,31.818181818181817
12,0 0 1 1 0 0,57.38636363636363
13,0 0 1 1 0 1,60.79545454545454
14,0 0 1 1 1 0,80.68181818181817
15,0 0 1 1 1 1,84.0909090909091
16,0 1 0 0 0 0,21.59090909090909
17,0 1 0 0 0 1,25.0
18,0 1 0 0 1 0,36.36363636363637
19,0 1 0 0 1 1,39.77272727272727
20,0 1 0 1 0 0,61.36363636363637
21,0 1 0 1 0 1,64.77272727272727
22,0 1 0 1 1 0,80.68181818181817
23,0 1 0 1 1 1,84.0909090909091
24,0 1 1 0 0 0,32.38636363636363
25,0 1 1 0 0 1,35.79545454545455
26,0 1 1 0 1 0,44.31818181818182
27,0 1 1 0 1 1,47.72727272727273
28,0 1 1 1 0 0,65.3409090909091
29,0 1 1 1 0 1,68.75
30,0 1 1 1 1 0,80.68181818181817
31,0 1 1 1 1 1,84.0909090909091
32,1 0 0 0 0 0,32.38636363636363
33,1 0 0 0 0 1,35.79545454545455
34,1 0 0 0 1 0,44.31818181818182
35,1 0 0 0 1 1,47.72727272727273
36,1 0 0 1 0 0,65.3409090909091
37,1 0 0 1 0 1,68.75
38,1 0 0 1 1 0,80.68181818181817
39,1 0 0 1 1 1,84.0909090909091
40,1 0 1 0 0 0,43.18181818181818
41,1 0 1 0 0 1,46.590909090909086
42,1 0 1 0 1 0,52.27272727272727
43,1 0 1 0 1 1,55.68181818181818
44,1 0 1 1 0 0,69.31818181818183
45,1 0 1 1 0 1,72.72727272727273
46,1 0 1 1 1 0,80.68181818181817
47,1 0 1 1 1 1,84.0909090909091
48,1 1 0 0 0 0,32.38636363636363
49,1 1 0 0 0 1,35.79545454545455
50,1 1 0 0 1 0,44.31818181818182
51,1 1 0 0 1 1,47.72727272727273
52,1 1 0 1 0 0,65.3409090909091
53,1 1 0 1 0 1,68.75
54,1 1 0 1 1 0,80.68181818181817
55,1 1 0 1 1 1,84.0909090909091
56,1 1 1 0 0 0,43.18181818181818
57,1 1 1 0 0 1,46.590909090909086
58,1 1 1 0 1 0,52.27272727272727
59,1 1 1 0 1 1,55.68181818181818
60,1 1 1 1 0 0,69.31818181818183
61,1 1 1 1 0 1,72.72727272727273
62,1 1 1 1 1 0,80.68181818181817
63,1 1 1 1 1 1,84.0909090909091
