,drug vector,condensed weight
0,"DRG1,DRG2",0.0
1,"DRG1,DRG3",0.0
2,"DRG1,DRG4",0.0
3,"DRG1,DRG5",28.6516853933
4,"DRG1,DRG6",-10.6741573034
5,"DRG1,DRG7",39.3258426966
6,"DRG1,DRG8",13.4831460674
7,"DRG1,DRG9",2.80898876404
8,"DRG1,DRG10",29.7752808989
9,"DRG1,DRG11",3.37078651685
10,"DRG1,DRG12",5.05617977528
11,"DRG1,DRG13",36.5168539326
12,"DRG1,DRG14",32.5842696629
13,"DRG1,DRG15",7.30337078652
14,"DRG1,DRG16",43.2584269663
15,"DRG1,DRG17",34.2696629213
16,"DRG1,DRG18",19.6629213483
17,"DRG1,DRG19",-12.9213483146
18,"DRG1,DRG20",-11.797752809
19,"DRG1,DRG21",-10.6741573034
20,"DRG1,DRG22",-10.6741573034
21,"DRG1,DRG23",43.2584269663
22,"DRG1,DRG24",-12.9213483146
23,"DRG2,DRG3",0.0
24,"DRG2,DRG4",0.0
25,"DRG2,DRG5",28.6516853933
26,"DRG2,DRG6",-10.6741573034
27,"DRG2,DRG7",39.3258426966
28,"DRG2,DRG8",13.4831460674
29,"DRG2,DRG9",2.80898876404
30,"DRG2,DRG10",29.7752808989
31,"DRG2,DRG11",3.37078651685
32,"DRG2,DRG12",5.05617977528
33,"DRG2,DRG13",36.5168539326
34,"DRG2,DRG14",32.5842696629
35,"DRG2,DRG15",7.30337078652
36,"DRG2,DRG16",43.2584269663
37,"DRG2,DRG17",34.2696629213
38,"DRG2,DRG18",19.6629213483
39,"DRG2,DRG19",-12.9213483146
40,"DRG2,DRG20",-11.797752809
41,"DRG2,DRG21",-10.6741573034
42,"DRG2,DRG22",-10.6741573034
43,"DRG2,DRG23",43.2584269663
44,"DRG2,DRG24",-12.9213483146
45,"DRG3,DRG4",0.0
46,"DRG3,DRG5",30.3370786517
47,"DRG3,DRG6",-10.6741573034
48,"DRG3,DRG7",41.0112359551
49,"DRG3,DRG8",13.4831460674
50,"DRG3,DRG9",2.80898876404
51,"DRG3,DRG10",29.7752808989
52,"DRG3,DRG11",3.37078651685
53,"DRG3,DRG12",5.05617977528
54,"DRG3,DRG13",36.5168539326
55,"DRG3,DRG14",32.5842696629
56,"DRG3,DRG15",7.30337078652
57,"DRG3,DRG16",43.2584269663
58,"DRG3,DRG17",34.2696629213
59,"DRG3,DRG18",19.6629213483
60,"DRG3,DRG19",-12.9213483146
61,"DRG3,DRG20",-11.797752809
62,"DRG3,DRG21",-10.6741573034
63,"DRG3,DRG22",-10.6741573034
64,"DRG3,DRG23",43.2584269663
65,"DRG3,DRG24",-12.9213483146
66,"DRG4,DRG5",30.3370786517
67,"DRG4,DRG6",-10.6741573034
68,"DRG4,DRG7",41.0112359551
69,"DRG4,DRG8",13.4831460674
70,"DRG4,DRG9",2.80898876404
71,"DRG4,DRG10",29.7752808989
72,"DRG4,DRG11",3.37078651685
73,"DRG4,DRG12",5.05617977528
74,"DRG4,DRG13",36.5168539326
75,"DRG4,DRG14",32.5842696629
76,"DRG4,DRG15",7.30337078652
77,"DRG4,DRG16",43.2584269663
78,"DRG4,DRG17",34.2696629213
79,"DRG4,DRG18",19.6629213483
80,"DRG4,DRG19",-12.9213483146
81,"DRG4,DRG20",-11.797752809
82,"DRG4,DRG21",-10.6741573034
83,"DRG4,DRG22",-10.6741573034
84,"DRG4,DRG23",43.2584269663
85,"DRG4,DRG24",-12.9213483146
86,"DRG5,DRG6",30.3370786517
87,"DRG5,DRG7",39.3258426966
88,"DRG5,DRG8",52.808988764
89,"DRG5,DRG9",33.1460674157
90,"DRG5,DRG10",42.1348314607
91,"DRG5,DRG11",34.8314606742
92,"DRG5,DRG12",35.393258427
93,"DRG5,DRG13",48.8764044944
94,"DRG5,DRG14",64.0449438202
95,"DRG5,DRG15",37.6404494382
96,"DRG5,DRG16",55.6179775281
97,"DRG5,DRG17",65.7303370787
98,"DRG5,DRG18",48.8764044944
99,"DRG5,DRG19",24.1573033708
100,"DRG5,DRG20",26.404494382
101,"DRG5,DRG21",28.6516853933
102,"DRG5,DRG22",28.6516853933
103,"DRG5,DRG23",55.6179775281
104,"DRG5,DRG24",24.1573033708
105,"DRG6,DRG7",41.0112359551
106,"DRG6,DRG8",4.49438202247
107,"DRG6,DRG9",-5.61797752809
108,"DRG6,DRG10",25.8426966292
109,"DRG6,DRG11",-4.49438202247
110,"DRG6,DRG12",-3.37078651685
111,"DRG6,DRG13",32.5842696629
112,"DRG6,DRG14",24.7191011236
113,"DRG6,DRG15",-1.12359550562
114,"DRG6,DRG16",39.3258426966
115,"DRG6,DRG17",26.404494382
116,"DRG6,DRG18",11.797752809
117,"DRG6,DRG19",-22.4719101124
118,"DRG6,DRG20",-21.9101123596
119,"DRG6,DRG21",-21.3483146067
120,"DRG6,DRG22",-21.3483146067
121,"DRG6,DRG23",39.3258426966
122,"DRG6,DRG24",-22.4719101124
123,"DRG7,DRG8",63.4831460674
124,"DRG7,DRG9",41.5730337079
125,"DRG7,DRG10",46.0674157303
126,"DRG7,DRG11",42.6966292135
127,"DRG7,DRG12",43.8202247191
128,"DRG7,DRG13",52.808988764
129,"DRG7,DRG14",71.9101123596
130,"DRG7,DRG15",46.0674157303
131,"DRG7,DRG16",59.5505617978
132,"DRG7,DRG17",73.595505618
133,"DRG7,DRG18",56.7415730337
134,"DRG7,DRG19",33.7078651685
135,"DRG7,DRG20",36.5168539326
136,"DRG7,DRG21",39.3258426966
137,"DRG7,DRG22",39.3258426966
138,"DRG7,DRG23",59.5505617978
139,"DRG7,DRG24",33.7078651685
140,"DRG8,DRG9",16.2921348315
141,"DRG8,DRG10",49.4382022472
142,"DRG8,DRG11",23.0337078652
143,"DRG8,DRG12",16.2921348315
144,"DRG8,DRG13",55.6179775281
145,"DRG8,DRG14",24.7191011236
146,"DRG8,DRG15",16.2921348315
147,"DRG8,DRG16",61.797752809
148,"DRG8,DRG17",26.404494382
149,"DRG8,DRG18",23.595505618
150,"DRG8,DRG19",-8.98876404494
151,"DRG8,DRG20",-9.55056179775
152,"DRG8,DRG21",5.05617977528
153,"DRG8,DRG22",6.1797752809
154,"DRG8,DRG23",64.606741573
155,"DRG8,DRG24",-3.93258426966
156,"DRG9,DRG10",41.5730337079
157,"DRG9,DRG11",7.86516853933
158,"DRG9,DRG12",-3.37078651685
159,"DRG9,DRG13",48.3146067416
160,"DRG9,DRG14",34.8314606742
161,"DRG9,DRG15",-1.12359550562
162,"DRG9,DRG16",55.0561797753
163,"DRG9,DRG17",36.5168539326
164,"DRG9,DRG18",23.595505618
165,"DRG9,DRG19",-6.74157303371
166,"DRG9,DRG20",-6.1797752809
167,"DRG9,DRG21",-5.61797752809
168,"DRG9,DRG22",-5.61797752809
169,"DRG9,DRG23",39.3258426966
170,"DRG9,DRG24",-6.74157303371
171,"DRG10,DRG11",49.4382022472
172,"DRG10,DRG12",43.8202247191
173,"DRG10,DRG13",32.5842696629
174,"DRG10,DRG14",78.0898876404
175,"DRG10,DRG15",46.0674157303
176,"DRG10,DRG16",39.3258426966
177,"DRG10,DRG17",79.7752808989
178,"DRG10,DRG18",47.191011236
179,"DRG10,DRG19",24.7191011236
180,"DRG10,DRG20",25.2808988764
181,"DRG10,DRG21",25.8426966292
182,"DRG10,DRG22",25.8426966292
183,"DRG10,DRG23",55.0561797753
