,drug vector,condensed weight
0,0 0 0 0 0 0,0.0
1,0 0 0 0 0 1,2.0541827925
2,0 0 0 0 1 0,16.3143792795
3,0 0 0 0 1 1,18.7258112533
4,0 0 0 1 0 0,52.4263173564
5,0 0 0 1 0 1,54.8377493302
6,0 0 0 1 1 0,70.9437332539
7,0 0 0 1 1 1,77.1062816314
8,0 0 1 0 0 0,8.33581423043
9,0 0 1 0 0 1,10.5686216136
10,0 0 1 0 1 0,22.8937183686
11,0 0 1 0 1 1,25.483774933
12,0 0 1 1 0 0,55.343852337
13,0 0 1 1 0 1,57.9339089015
14,0 0 1 1 1 0,71.8666269723
15,0 0 1 1 1 1,77.6421554034
16,0 1 0 0 0 0,17.2372729979
17,0 1 0 0 0 1,19.6487049717
18,0 1 0 0 1 0,29.8898481691
19,0 1 0 0 1 1,32.6585293242
20,0 1 0 1 0 0,58.4697826734
21,0 1 0 1 0 1,61.2384638285
22,0 1 0 1 1 0,72.7895206907
23,0 1 0 1 1 1,78.1780291753
24,0 1 1 0 0 0,26.7043763025
25,0 1 1 0 0 1,29.2944328669
26,0 1 1 0 1 0,37.3027686812
27,0 1 1 0 1 1,40.2500744269
28,0 1 1 1 0 0,61.8041083656
29,0 1 1 1 0 1,64.7514141113
30,0 1 1 1 1 0,73.7124144091
31,0 1 1 1 1 1,78.7139029473
32,1 0 0 0 0 0,26.7043763025
33,1 0 0 0 0 1,29.2944328669
34,1 0 0 0 1 0,37.3027686812
35,1 0 0 0 1 1,40.2500744269
36,1 0 0 1 0 0,61.8041083656
37,1 0 0 1 0 1,64.7514141113
38,1 0 0 1 1 0,73.7124144091
39,1 0 0 1 1 1,78.7139029473
40,1 0 1 0 0 0,36.7371241441
41,1 0 1 0 0 1,39.5058052992
42,1 0 1 0 1 0,45.1324799047
43,1 0 1 0 1 1,48.2584102411
44,1 0 1 1 0 0,65.3468294135
45,1 0 1 1 0 1,68.4727597499
46,1 0 1 1 1 0,74.6353081274
47,1 0 1 1 1 1,79.2497767193
48,1 1 0 0 0 0,26.7043763025
49,1 1 0 0 0 1,29.2944328669
50,1 1 0 0 1 0,37.3027686812
51,1 1 0 0 1 1,40.2500744269
52,1 1 0 1 0 0,61.8041083656
53,1 1 0 1 0 1,64.7514141113
54,1 1 0 1 1 0,73.7124144091
55,1 1 0 1 1 1,78.7139029473
56,1 1 1 0 0 0,36.7371241441
57,1 1 1 0 0 1,39.5058052992
58,1 1 1 0 1 0,45.1324799047
59,1 1 1 0 1 1,48.2584102411
60,1 1 1 1 0 0,65.3468294135
61,1 1 1 1 0 1,68.4727597499
62,1 1 1 1 1 0,74.6353081274
63,1 1 1 1 1 1,79.2497767193
